"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $234.27/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode"
"0xfe017a0ef43f4da68afc535a6e688772bcff72b30ff45584f8ab2ef0ef010f4c","2366458","1475413309","2016-10-02 13:01:49","0xbae7329a0d322919f3a4fc56886deeb5ae318faf","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","754","0","176639.58","0.002528773167243939","0.592415689890238","13.23","","",""
"0xf16e3831c000595b840c5d0f4c50a7f249a82947bd7c69932bf64ac5c85f18f1","2366458","1475413309","2016-10-02 13:01:49","0x50cee8a8411b5ded206aeaa0c77b4000f3a77a3b","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","24","0","5622.48","0.001961635860201","0.459552432969288","13.23","","",""
"0x02117350f8a443872065e8c7bf1e9ec4d7a773ab2552b9bdde11b954c89979f0","2366458","1475413309","2016-10-02 13:01:49","0xd9b5c33725f98b7ba4d6f0c8787cd5ed05e7bb50","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","27.5","0","6442.425","0.00194761148952","0.45626694364985","13.23","","",""
"0x57441feffc2e2e65ebc91bc84f441fbb29307484acf9eb1d12a26332e4b29b1e","2366458","1475413309","2016-10-02 13:01:49","0xd7888e70f4636b97a63527c8f98e2e0f7bcfe6d0","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","55","0","12884.85","0.00194761148952","0.45626694364985","13.23","","",""
"0x884eb351ccdf1e8d9f444f71b77e2ee06e8bc30dab80ce827d2420ca52ed2fd3","2366458","1475413309","2016-10-02 13:01:49","0x03181d1ecc6dbc45f9b1c5987f297ca6d552dc53","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","0.9","0","210.843","0.001270468866987","0.297632741469045","13.23","","",""
"0x1435d2cfd032425ed6c07fe55923ff1ae0af8c74309e6deaf5f9f0bbe5e3321c","2366458","1475413309","2016-10-02 13:01:49","0x9bcacda2cd4b6c4053d23bb60c7593df1ab3754b","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","500","0","117135","0.001910798069052","0.447642663636812","13.23","","",""
"0xb774fe202b53e7d1a54cf8c6ea0db186a21d3029e9aaaaa957435a384f1c4878","2366459","1475413326","2016-10-02 13:02:06","0xaf685224c34457f92b2f1f1c197950cc606e3fe7","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","85","0","19912.95","0.000725598298921","0.169985913488223","13.23","Error(0)","Bad jump destination",""
"0x03898908b52bcdf69006aaac08c83f4087084b1d0b9868a238c4a0324841e340","2366459","1475413326","2016-10-02 13:02:06","0x4d2575df05a3667963c64995d6633af4d9cbbd6c","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","1","0","234.27","0.002744654435049","0.642990194498929","13.23","","",""
"0x07a0edf9c087344b2dbaedd9c949cdd72f94343907c93a84dd446a780fe9032e","2366459","1475413326","2016-10-02 13:02:06","0xc4465aeb7a35ab7efdb5be05194c47d4c6683099","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","44.66","0","10462.4982","0.002528773167243939","0.592415689890238","13.23","","",""
"0x24b9f13f94e35020c026f6e7b9210678ee07e52555b78dc40bb03c5a7ff0cb2a","2366459","1475413326","2016-10-02 13:02:06","0x47e927fe1be958e47cad175c727ded7282608f52","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","100","0","23427","0.002744654435049","0.642990194498929","13.23","","",""
"0x2ad7943017514c92c15ac38560e03c5c99202b36ae805d3ae973c94c9d6ea6d0","2366459","1475413326","2016-10-02 13:02:06","0x05f6420c360300797e588ca8d82733b40b780eb8","0xbdf5c4f1c1a9d7335a6a68d9aa011d5f40cf5520","","643","0","150635.61","0.002744654435049","0.642990194498929","13.23","","",""
