"HolderAddress","Balance","PendingBalanceUpdate"
"0xa85864D43e4cD0d362D14be7680461811ca9B321","44356","No"
"0x78550c2a6aD9DC083bDee0B54837B061E1F3C088","-862068","No"
"0x01B26AC98C2EDAA2c22F5d8dbC906cdc9E36A888","-39655","No"
"0x1cfd8852B50B9ff6B61188dC11Aa4C9ECd9131a2","0","No"
"0x5605BB8E474E0Ddc882BcB573fA542a93f2c4DB0","-84129","No"
"0xff16F9e405F02b64Fb483dc6f59206Ee8864C8cd","0","No"
"0x5F3bC7301a451717Be419520dB4eb563D457a82E","-125758","No"
"0x1ad933f3A51E07016383081b70eF9e408f079996","0","No"
"0x7c8c59F44CC9169eFf60A4C1F45F41A4096d5259","0","No"
"0xbFCA64dEFcB1069F7EA2840b4c849Fa1E8Fbd717","0","No"
"0xF7c558A2d98D6eDFF5B84Abb39A654FEB1742E22","0","No"
"0x97B5A64a33da135F59BCD0535003e27ce22b6ec0","-150861","No"
"0xb134e792F7929c6D8f724afe554b4D07ff7ab9E8","184802","No"
"0xa0bdD3f78A9e19372a71452Ea832fd595106825b","0","No"
"0x511bBBbBe96Ba6DBdc1c8608574748D0c2896367","0","No"
"0xf45F8262b97E4099a287d0C871C9f89b477eF378","0","No"
"0xe1420b828cD2CB6c0D0488992e8176c25B4D7748","0","No"
"0x30Ea3CA7E7A5fE9e848ed45608915b17830d4C85","-309446","No"
"0x3F5889d3675F82Fd89F424d1674325a4331955BA","0","No"
"0xF3071D978cd3479932357e36B6A1BD24A985b6DB","-173180","No"
"0x73c53Dd338d4bD7472fFE26a0E07B8BB3B5Ac94E","0","No"
"0x3b1397cCE3Bf7E93FabE3fbC269455Af0920e475","0","No"
"0x85b8957A80776be81b03C40c6CfF304e19eF1d70","-1097285","No"
"0x92a98456e7c9ec6ABd25d38b0826E61D21023d88","-129310","No"
"0x1168d2f34F3Bb429A0F089E4Cadd106cC5234972","0","No"
"0x535acb363E17BAa063821e4Da4950a818aAfEd58","35628","No"
"0x7498d6d185e4A7fC1fE756006d29dcC2ba041649","0","No"
"0x4256b88b8aB9d64DC782b0682CB4d3e92d633336","-20000","No"
"0x43287227DBF6A9e3Cb50730a1B88958478E58755","0","No"
"0x362cFeeDff6Ee5d76E363DE612Ea01a294BceA4f","-129223","No"
"0xF1E56c918a87Bf90bA91a3F994617f0DB91BbAA4","0","No"
"0xAb8c0420aD39a5727fd43C917679e8822Bff1C51","30","No"
"0x38c7C05f8E37Eb97dDE95093f0c903C079A45fa0","-5086","No"
"0x3ea0F0443757BCFd533E9B948AD32aa79Af50f10","0","No"
"0xaB629a55f5D206Bb65b7D11CFfcd60efccAbA86e","-86180","No"
"0x0E31511EEE38475c8fE45552914EcEB0db52e924","0","No"
"0x97D0d57f01aC95484db9988c40Bf0c66dB3CEFfa","-75350","No"
"0xC0A636001098c67a6C869E6be8321180d8A243A3","0","No"
"0x74068DE589FA6Cde64C1a8929E0E9398613f9967","0","No"
"0x45bB533C9893Cd0aEC0f81D8B19303523293143C","0","No"
"0x25905844b51Ba78C7396C36A878a841C83E08EAD","-42241","No"
"0x777E229414793D106DcE6dE6c821517Ae2928591","0","No"
"0xC113Ee2c2fDDf544789f169b2B09431960b52a9D","-344818","No"
"0x17948C6f45FAe7a531B290daed9299Ce6fb464D0","0","No"
"0x3580d7e4F71c4a4987569dBD144b841C567230c1","0","No"
"0x526fe62AdFbA1Bdfd58dE2f6e77DE73c164efd8b","-130000","No"
"0x705Bd7Bf4A20b4627dc079fe02fC49Aa35105bbb","0","No"
"0xbaFcC2c20De757919Dc322449455f699CC5f534F","-2051","No"
"0x3df9ba28b60b4200e9B1cE584Ed471026B465eb4","0","No"
"0x5296f11D4ce270C1753a8E58B1bcE203C8D502cA","-30321","No"
"0xD1AF5ECD13542a5760FEBF2FF5C0236A636a753f","0","No"
"0x117f560C1F4DD1d3E4C5e27E75b026443683b4ea","-87109","No"
"0x936B6Be993F03D16C5F699c78AA65f8313464308","0","No"
"0xa7078AF64F922242fB45332333d9092f269283d2","-43103","No"
"0x7f6649342b8d9FEB7e60145B9d9Bd21a174272e2","0","No"
"0x4B82Ec7BdDB979866e212e5d90eBbc4fF4544e97","-4255266","No"
"0xed791bD2bB9e69c4f4864eDbBA771Feba5daA997","1","No"
"0x5E259676A7EF3d71595bB82624120ff7DD28A54e","-125642","No"
"0x5c4970C449964Fb8E111a23E351222f6C40a86B8","-650683","No"
"0x52f68E1D6d395D2CA6688e8575f2EF166C293E50","0","No"
"0x5F33114602ABF9A93C0977f2Ed45fb7c7b856299","2231","No"
"0x9B9B612d50Fa8655Bfd2d0270Cc794B7d338AdAa","-266971","No"
"0x54e37c11847Df9933aeBeC682dCdA7239DcD14Fb","0","No"
"0x3ABc7374D75dB3E0805a75816A26B856e708E39e","-183652","No"
"0xe14dE723554297deb27644087C2427a41476bb7a","0","No"
"0x09437E1dfC040DdA229FC6E78364Da659f2Fc292","-198034","No"
"0x533CE869eD713E1eeD007dd4D1dbFb989c449A01","0","No"
"0xf7C3E590AA0707E3f771BF14B6eF77fD8Db728A6","-528600","No"
"0x7A40b33fb705434CEb658eB252f76768396b5bb8","0","No"
"0xEda3c50ee6af463cDf2b0B1Bbf859cA56fb92D9b","1868407","No"
"0xf040ad06e99A34D6b4e9ee5600D2D3D62f390FCB","-3879","No"
"0xAC453665f7a84111e346246D71b4B70f81E1D460","-1149517","No"
"0x7d7B4e181Cb43830186590EaDE3C84D0334EC9b8","-17235","No"
"0xAAf928cd8343911e545A1f998EEC17606e110806","-17235","No"
"0x0ed1B9cbbD6b462A6B5741306CAaa8B0FC79d2Ec","-13000","No"
"0x92aB42422AA4D4d829e9Cc8dC832f01fBccbE205","0","No"
"0xbaDD43079AbFC74DCFede4697A2bD5c3735b52fD","-5000","No"
"0x9cC04f54CA7FE26Fc8Ed9aA348Cb3655Ca8CdC80","0","No"
"0x7d986f34cb97323422275d6852f670aD88838E52","-9116","No"
"0x4d03152350C8e769711295a347B4b9E10CF06Ace","0","No"
"0x6e4a27A013Ab6Ff1e443F4a45730aaFF309B2eAD","-28444","No"
"0x06C503404928FC8F0e70a41C58751a2A20dF3D3e","1","No"
"0x199cc88381A4452B286dFb1daA074bEcD563EA79","-83325","No"
"0xe9e6b962d8b22361C498A68F5d086926691F8964","0","No"
"0x2e0A715867900F965A175fE86C3e240fbF3898B3","0","No"
"0xC0576E50D7313b6e751ADcF823085ee6360efB5A","156105","No"
"0x0504b33Cf5932b32c9D877becBC97D12bee607Eb","-18825","No"
"0x80C808Dd0F6677728fdD7d5c699992149AaF4584","-1320000","No"
"0x9daB5D2A63c3AA9c38d9d799BfA1f17B52098FDb","-966","No"
"0x9feDdFb0296B2d081c1e44d63E1617eafE395e9A","0","No"
"0x2E82c9f2148e02eC94c59441EcF32527A46890F0","80258","No"
"0xd1b53075989Bf7D3A80651eC6458Ff373340a437","-20000","No"
"0xB5F93a458830c1f29899c25377F7ae56ef5AEE7d","-40176","No"
"0xEA06AeCe1082f581BA72321A74afF98baF631328","0","No"
"0xb1aB35cE2bFe23453239074B0826770E53a08948","20647","No"
"0x1Dab5dD5032593D215D85b02266D23Cf92871b23","-144476","No"
"0x4F1dce3E88C08DC30f9cEBB93744cCf26d5F5061","0","No"
"0xA115DAFFF759c099732284d01b0474CEA013E3Be","1494","No"
"0x7de81B096429a15914CDf74Cc58119C95C4eF465","-2551","No"
"0x8b8401C7541DC63fEAF931A90F4CD1963DB2Ff1A","0","No"
"0x7033FDb2B2eC741b21397dfc533c0f66B773072c","35935","No"
"0xB450c3af034975DbE868187Ff3C594Fc87b99b22","5","No"
"0x657013005e5cFAF76f75d03b465cE085d402469A","0","No"
"0x462679199AC92046f6EaE701a4aEc3BC05f387Eb","-116182","No"
"0x48B6F9c5f7579c96a854816b07207cce9E693D20","0","No"
"0xcF53274c4245caF86BE88894D2a228763904Af9D","0","No"
"0x9965631d8328F6E2f0F77c5701e576343dD6AA07","0","No"
"0xe0A2AC4c7b46Ce32C5b4Bf153Ca50E603D36Abc8","-41714","No"
"0xD38161Fa938C744601f072D7180D635395e58352","-41101","No"
"0xe4d6D76E044Db39ac807C151796926a0E6D5a982","-100","No"
"0x19B2f33EdcB0A741b9D2880F108457CE2F365Fb1","0","No"
"0x6550188E819416f59f89Dc844D4744458564Ab86","0","No"
"0xa31A60C58a454a8824BCf07cd60Abb8b8e2FDa0c","0","No"
"0x9e627233ec82f2C0DdA1dc32f288AB72AdB8F0B3","0","No"
"0x554069726423affB00AFa5FBe60Ad3668EaE0544","10112","No"
"0x43BF838D799Ce44a51C57d258375BEF886e995CD","20379","No"
