"HolderAddress","Balance","PendingBalanceUpdate"
"0x42244b5edbb2d02a526e0057bc4bab9253d14688","557122","No"
"0xcc593499abc70f6a823ae38d7aadba68445c1d26","6143","No"
"0x70eb3bcecdc49615a805f8f0425e1ae2412de9a6","5","No"
"0x66235c4b2408aa8000935792da5efbcb0bca9c70","46","No"
"0xcc00d0a7dc6226ecf8697718b5e1518d6eacce7c","7","No"
"0xf8b158f05c41c0e3950a1c4260b2dee3937e373c","23","No"
"0x2ac868d344cdf5124891230eeb04c7826b0e0c67","12","No"
"0xb73f7a6cb82fa4e2b8efbb3b42a9b8c219be808e","4005","No"
"0x376248789cf3e67edfb8dffb092e1ac21abd6bbb","10750","No"
"0xaf9e08f3020e624c945cc446e8759602049cb176","3094","No"
"0x3249f79d00fafc5854935f418bd37e648d36bd5b","1113844","No"
"0xfe668f60a3bb148199f97da955ddde4eed2bba9a","36814","No"
"0x2f1e8df50e7d262a0ddefd4cb4ef1b90a5af7695","518","No"
"0xa75ecee4159e20b7f7faff7dac3b4abc5d1f5aab","9","No"
"0xe37079f0dc90d790c950547934f66368c186b4d9","13234","No"
"0x696937a1ff2574530868ad8d8c4d840e28ddf816","665","No"
"0x34b6464d54ad663f25b113bbc9c3b9d77e9452c5","9","No"
"0xa0073b61544547671aa59346b6461f0441d2e5f2","1125","No"
"0x24c09c04c840479346242e1fe82d5f37ec694ade","40000","No"
"0xd14e5f2f805805befd37d0304fe212faae8d650c","205","No"
"0x0de0bcb0703ff8f1aeb8c892edbe692683bd8030","111","No"
"0xb8c80d636def3152e8a9da0a880c4aa8e2489a29","1","No"
"0xd5326ce27d1b69d82c0b262da268c0a4c2dc8198","499","No"
"0x87c1787f9782eabcbcd2e9b4aabb87ddff561d55","26260","No"
"0x6b61920d065b5dc50e9828f666c9ce8edce44ebd","10921","No"
"0x18c212ef640197da749d13cbaf4ea669e9d09975","45","No"
"0x8a9bcdc68d19e111663d6c986caf1da1eda1c304","6197","No"
"0x10df14a3da6289983f462258963ab7763edb66c2","32504","No"
"0x73e52fde465a855b60a2846292ee0c77965063b6","50","No"
"0xb9d7e4778a25704bf7520ed5611e2366b64ec050","1885","No"
"0x6af0474ae538ceea2b8da5cd368e111b89784a35","4","No"
"0x210532779d950a1b79cb298ce08c19ad5b95683b","19","No"
"0x5f7a5f4625f5e062c6bf253525fd0ca5cc78bf0f","67937","No"
"0x244e9b38fc1c655de53a8ba5a4760f6e8001403b","590","No"
"0xc37caea859b399e9b733733c21fb9e5eddfba27c","2","No"
"0x4967e1b538554358b9ae61594c6d4beee656d35d","2","No"
"0x31eef4b9d165291cd15e403b16bf23d4b4372ca1","967","No"
"0xa15fb4813b1495fa8649b58b4ba4f000915f3d7a","218","No"
"0x8687376d63a57ce5e7901b721afa6d93011e2a16","1","No"
"0x287d99e974db20fb1409bd1690d30efdc4c3dbac","113930","No"
"0x3de35553f681455fa908e6f2b8f78981654568bb","966","No"
"0xe104c7a15927cdc8ffd8260bacf3c2db30c622c8","14644","No"
"0x75cf98f931323e249d6d500cb2801b91f140fe7c","355679","No"
"0x34b80f98bdfb705ca33bb060871730a3c0b6b6ab","44","No"
"0x6a79af7dd5981ee5bb07282d5c350feb79c50978","148","No"
"0xbc70ebb396e00f79ef2162150ff1170cfc242992","1","No"
"0xb5c3235227ee0dc9271c8ec7f03c387313c63c2e","100","No"
"0x009b43407adab5f8dbc680dc64142adc9196ce13","103443","No"
"0x6874744abd351f129b3e0e1e1c1b2a68d12ba241","2","No"
"0xd44d1e6fb67a1acc085611215835c65f0d46bafe","8501","No"
"0x82ce0508885fe65ef7cdc1682524e7461cc42da7","1","No"
"0x6ea597bd08aee132877c758da79e35010983a1f2","137","No"
"0x9811f127187de49dc52e6853beec4bf9d984bdf2","165034","No"
"0x8a5c017881d4318c32ff279f00dad9e1b6e71de0","264","No"
"0xd41e1d25e980d719f5b9657f4c0fffb932d275dd","4","No"
"0x93f32eb7620abc755782198be0ea2399ca770034","1898","No"
"0x9fa5c768135319ba87e781a031c71ed28b714a2a","9000","No"
"0x997fc6d708719007b59eebcdf1789cde2ec05627","100","No"
"0x66efe132fa0884ee84534b541b48854168058e7e","1675","No"
"0x4f9155d2c09f22907d15d95041668ddfa7519188","1000","No"
"0xe6a608633dbd4b1177a0613c832e3611d3ddeba8","1362","No"
"0xb06fcea8e7fa79d03f7a4f9a36e35e5be51f66c5","8","No"
"0x5f6f2e4ebad66fcd66f418cf98cfa14c45b5cbea","2","No"
"0x13e2eee81a6da28dba1a3bf8a0343c93ab2e75ef","30000","No"
"0x23b985f5bb9b8a54fae85fb91b80c3bc621e1736","1018","No"
"0x75d8d5a72bdc0c296f9135b4865a7308bf32e2c6","2","No"
"0x9bfc1dd1c5458c080af33c4dcbeeaadc9e996127","4001","No"
"0x9e3da049764b60e8c3d2e2affd3034d1b250c2b7","120000","No"
"0xd9a93390c487b954eb1ad4c8a4acc73840409869","862064","No"
"0x132933147e08e175e8729c377f9854299e8347da","8433","No"
"0x32f978740b088b9de0b63af4c1bfbaa63f91ab99","943","No"
"0x85803de37840ae4130127efcfa9b61a2c0da67ef","6000","No"
"0xefca89f5d2ad9fb8f50710b835396b197beca354","68480","No"
"0x06ad1568f64dbbceab97f218743faf4271f69ab1","35","No"
"0x06463ecba9717adfe509d281b0e3ba9e39762dc6","4455","No"
"0x0d1a700833d0eadf9c0f73154681815457751cdb","1","No"
"0xbe6536e33f0e082a87d1081a8293c24a330a8d3e","2203061","No"
"0xa9f8f37d8bdd85caefba0165d588c2777cc51798","100","No"
"0xcd53de9b716afce3b1dc642e729f3ec55d454a3a","5000","No"
"0x32bd7bc80e706800f90f5d9512b9ea1eac1424f1","2","No"
"0x702e85a4e0d6f7d0197601b73967517da8a8a800","5000","No"
"0x2a068ff1ac2e6c106e31c6403dac05e13e735daa","22446","No"
"0x13b8c11521a5f16e2f015cf0a07a10d1d3ad89be","999","No"
"0x4d7e650235a1c1eef5763bd4d250d98dd4ef24df","16979","No"
"0x5eb1ca2d9d250ffad144c7b6f0191fafc97ae1ee","1720","No"
"0xdbc83c80fb26ed66b575ede22f7132a9ddb80d25","339","No"
"0x3bbc8a5efc7e9ab81a8e1a099c007356fca039dd","4","No"
"0x1a91d456f9ffe3497e219e288d4583013bb578d7","7288","No"
"0x10f177cbb859614e7da8a581a4a88d54286176cc","7496","No"
"0xc411d8a1cc1370140db9559af64142a504eec646","864164","No"
"0x78573f4e253e98e4241cce8d2ada1d3b75ac15cc","7579","No"
"0x3fbd3f77c1aea7651a9206c1a9b9ea0cc20e6d8f","37","No"
"0xa7ff07b647a704957d156d0e7021de3d32663d39","100","No"
"0xd8fbd4e0a6d1645931629cfe4596a514dbfdc7d1","1","No"
"0x0c71fd5b40cbb3955466d9840f14a7f6122b128b","4573","No"
"0x419422b62c7dda99c951d58b1ce23e596172ea1e","2","No"
